Country_Code,Country,Gold,Bronze,Silver,Total
GDR,East Germany,24.35,12.92,19.12,18.75
URS,Soviet Union,41.74,26.06,27.91,31.87
MEX,Mexico,0.00,2.33,0.22,0.87
ITA,Italy,1.74,1.69,4.62,2.67
HUN,Hungary,1.74,8.47,2.86,4.40
SWE,Sweden,0.65,1.91,1.32,1.30
DEN,Denmark,0.87,0.42,0.44,0.58
BRA,Brazil,0.87,1.06,0.00,0.65
AUS,Australia,1.09,1.06,0.44,0.87
GBR,United Kingdom,1.09,4.66,3.96,3.24
NED,Netherlands,0.00,1.06,0.22,0.43
POL,Poland,0.65,4.66,5.49,3.60
ESP,Spain,0.43,0.64,4.18,1.73
YUG,Yugoslavia,2.83,3.60,5.93,4.11
FIN,Finland,0.65,1.06,0.22,0.65
FRA,France,3.91,1.27,1.10,2.09
ETH,Ethiopia,0.43,0.42,0.00,0.29
TAN,Tanzania,0.00,0.00,0.44,0.14
JAM,Jamaica,0.00,0.64,0.00,0.22
CUB,Cuba,1.74,1.06,1.54,1.44
TCH,Czechoslovakia,3.91,3.39,3.96,3.75
BUL,Bulgaria,1.74,8.47,10.11,6.78
PRK,"Korea, North",0.00,0.42,0.66,0.36
GUY,Guyana,0.00,0.21,0.00,0.07
VEN,Venezuela,0.00,0.00,0.22,0.07
UGA,Uganda,0.00,0.00,0.22,0.07
ROU,Romania,1.52,10.59,3.30,5.19
IRL,Ireland,0.00,0.21,0.44,0.22
SUI,Switzerland,0.43,0.00,0.00,0.14
AUT,Austria,0.22,0.21,0.66,0.36
IND,India,3.48,0.00,0.00,1.15
ZIM,Zimbabwe,3.48,0.00,0.00,1.15
MGL,Mongolia,0.00,0.42,0.44,0.29
BEL,Belgium,0.22,0.00,0.00,0.07
GRE,Greece,0.22,0.85,0.00,0.36
LIB,Lebanon,0.00,0.21,0.00,0.07
